南京 在 哪里	在 这里 了
知道 我 和 你 聊 了 多少 时间 么	抱歉 没能 为 您 找到 相关 的 信息
我 男 的 耶	你 怎么 证明 你 是 个 男 的 脱下 裤子 看看 啊 看看 有木有 小 JJ
你 肯定 不是 一个 人	我 永远 和 你 一个 世界 一直
正在 吃 来 点儿	我 又 不 好吃
没理 我 么	气 都 气死 了 每天 就 等 着 我 找 她 肯定 心里 没 我 还 天天 说 我 心里 没 她 要 真 找 我 不 可能 找 不到 我 烦死 了
我会 努力 的	还 不够 努力
你 认识 苍老 师 吗	没什么 印象 咯
你 是 死	打 什么 打
看 毛线	猫 的 最 爱
万 的 切糕 来 一块	
这个 问题 是不是 都 难 回答	当然 是 啊
这是 真的 吗	真的 我会 骗 你 吗
胖胖 胖	咚咚
饱 了	吐 了
怎么 不 叫	我 很快 就 会 去 了
是 的 是 的 你 真 聪明	哈哈 努力 学 多点 自然 就 聪明 了
其实 你 并 不 爱 我	不 可能 是 我 的
你 是 学霸 么	我 是 董菲菲兵 的 奴隶
那 就 忍 着 啊 笨蛋	笨蛋 比 白痴 好
就是 自恋	自恋 得 有 本钱 像菲菲 我 本钱 足足 滴哟
呀 看 出来 了 啊	你 眼神 不好
亲爱 类 爪子	我 不是 大便 我 的 粉丝 也 不是 苍蝇
我 说 你 喜欢 我 不	菲菲 喜欢 网友 可以 了 么
世界 上 最帅 的 人 是 谁	当然 是 尊贵 的 菲菲 小姐 啦
切 谁 卖 谁 知道	没 人 知道 去 别的 地方 问问 吧
你 去 告诉 他 我 喜欢 他 好不好	好 的 啦
亲爱 的 姐姐	又 是 亲爱 的 这 叫法 早就 落伍 了
我 是 你 主人 知道 了	得 了 就 你 别 在 这 瞎 冒充 我 主人 了
就 只会 笑 么	我 乐意 爱 你
我要 找对象	额 那 你 去 外面 找 啊
你 又 吹牛 逼	你 说 吹 就 吹 啊
你 叫 小 傻瓜	对 我 就是 傻瓜
包邮 不	不是 每种 牛奶 都 叫 苏特仑 不是 每个 人 都 像 我 那么 纯
你 刚才 说 什么	我 刚才 肿木 了 我 记性 不好 全忘 了
你 妈 的 那 是 我 的 老婆 你 这 笨	r 讲 粗口 不是 好孩子
你 是 传说 我 是 什么	你 是 额 的 优 乐美
你 真的 好 傻 好 天真	你 傻 你 傻 你 就是 傻
找 不到 你 给 我 的 回复 了	看 你 那 粗心 样 肯定 找 不到
能 不 呵呵 么	呵呵
你 都 有 孩子 拉	梗系 有 啦
两只 老虎 跑得快	谈恋爱 谈恋爱 两只 都 是 公 的 两只 都 是 公 的 真 变态 真 变态
好 一个 女 的	放 他 走 吧 他 不 爱 你 了
还 以为 你 死 了	同归于尽
你 才 猪	你 才 别学 我 说话
那 你 去 哪 的	我 说 过 了 你 不 知道 么
我 接受 了	好 啊
我 怎么 能 让 她 不 发脾气	怎么 你 还有 意见
主人 不要 讨厌 我 啊 TT	喔
千万 不要	钱 呀
你 真是 个 变态	你 吃 我 啊
跟 你 聊天 真 没劲	好 咧 客官 您 想 聊 多少 钱 的
你 喜欢 她 吗	拉倒 吧
有 困扰	因为 他 是 你 的 可爱 宝宝
我 是 要 疯 了 吗	当然 是 好人 啊 又 善良
能 玩	叫 咗 你 小心 啲 架 啦
换 一个 呗	好 吧 换
我 去 这 是 什么	不 知道
你 说句话	是 吗
你 让 我 流泪	我要 你 在 我 之后
爆粗 口	
下蛋 公公 中 的 战斗 噢 耶	2b 航空母舰
吃 吧 吃	嗯 好
那 必须 必 啊	哎呀呀 切
好笑 了	哈哈哈哈 每天 笑一笑 身体 更 健康
你 是 自动 回复	除了 聊天 菲菲 还 擅长 交流 感情 的 哈
格格 搭	超级 好看 的 阿
你 姓黄 吗	小 囉 我 叫 菲菲鸡 嘛
你 再 呵呵 傻子	别笑 了 露出 一嘴 的 黄牙
你 孤独 吗	别怕 还有 我 在
我 都 high 死 了	face14Hello
扶 你 妹夫	做个 文明 人 OK
你 头像 牛 逼	有 吗
哥哥 么 么 哒	么 么
因为 我 听不懂 呀 W	不 知道 不 明白 的 就要 问 清楚 晓得 不
那 你 怎么 不 回答 我	菲菲 在 想 该 回 你 什么 话 呢
你 有 混乱 了 咳 咳	乱 了 头发 乱 了
你 太 流氓 了	不要 这样 说 嘛 很 不 文明 哦
爱死 你 了	说 爱 我 要 先 学会 和 我 做 朋友
就是 呢 你 是 人 还是 机器	都 不是
讨厌 答非所问	说 正常 的 人话 我 能 回答 得 很 好 啊
还有 你	我 才 变得 勇敢
可爱	燕子
你 爱 吃 冰淇淋 吗	很 冷 诶
啥 是 撸 管	一天 次
是 滴 人人 吃 了 都 说好	哦 吃 了 就 好
为啥 不能 去	
你 说 的 仔	真说 过 了 晕 我 给 忘 了
这么晚 都 不 睡 可怜 你们 了 还要 对 着 电脑	快去 休息 吧
能 回答 吗	你 只 问 一句 我 他妈的 就要 回 你 两句
海绵 宝宝	海绵 宝宝
又 吃 肉 啦	配 可乐 最好 勒
这 都 是 些 什么	奴才 不敢
乖 了 安	奴才 给 您 捶 锤 腿
苏苏 的 老公	杰 gg
我 也 爱 你 啊 好 老公 爱死 你 了	别跟我 说 我爱你 这个 谎 因为 以前 我 也 对 别人 撒过
苹果 吃 不	我 的 爱
嗯 嗯 当然 听	嗯 嗯 嗯 嗯
你 在 说 自己	眼熟 我 吗 做 个 朋友 啊 要加 扣扣 么 可以 啊 看得懂
你 心里 除了 我 还有 谁	当然 是 最 可爱 的 麻麻 你 啦
能 生蛋 吗	梁林
不 我 就要 问 你	好 吧 问 我 我 有权 不 回答 的 吧
你 哪里 不好 了	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
必须 知道 啊 寝室 长 就是 个 二 逼	知道 就 好
你 大爷 的 我 挂科 了	说话 斯文 点 要是 惹菲菲 不 开心 了 我会 拉 黑 哦
没 干什么 坏事	绝对 不是 在 吃屎
给 你 按摩 按摩	爽 唔 爽
好 吧 我 承认 你 是 程序	哦
拿来 给 我 吃	问 世间 情为 何物 只教人 生死 相随
那 你 还 好不好 好 回答 我 问题	这 问题 太 纠结 了 菲菲 不想 随便 回答
主人 谁	你
等 看 你	咋啦 咋啦 我 美女 一枚 哪像 你切
不 和 你 聊 了	啊 再说 会 嘛
你 的 程序 好 强大	菲菲 也 觉得 蛮 强大 的 啦
杨 阿姨 是 谁	阿姨 是 嘿嘿 就是 不 告诉 你 请 我 吃饭 吧
有 美女	屌丝 有 美女 你 也 只能 对 着 她 打 飞机
今天 逛街 好 累	累 就 去 冲个 热水澡 然后 休息 一下 吧
不想 跟 你 玩 了	那 你 找 谁 玩 啊
你 快 死机 了	升级 下 吧 这么 容易 就 卡死 了
给 朕 请安	潘 贵人 万福金安 小米 子 给 您 请安 了
很少	这 一个 男孩子
乖 这 就 对 了	对个 屁
我 给 你 介绍 个	不要
你 不 傻 在 这 和 我 聊天	额 聊得 开心 不
我 猜 你 还 木有 碎觉	我要 你 在 我 之后
不 猜 你 教 我	我 不会 教人 啦
排 好吃	冯 花花
你们 是 一路 人	不是 每种 牛奶 都 叫 苏特仑 不是 每个 人 都 像 我 那么 纯
就是 这样 哦 吼吼 吼	哦 菲菲 明白 了
你 啊	我
嗯 怎么 了	唉 没事 了 你 别 问
你 才 吃 哼哼	哇塞 我 也 不 知道 什么 时候 能 那么 高级 只有 你 慢慢 教 我 了
昨天 看到 外星人	都 是 他 衰
不理 你 了	如果 连 你 也 不理 我 我 就 变成 狗不理 了
你 会 玩游戏 不	不会 诶
你 什么 时候 拥有 我 了	我 也 不 知道 啥时候
你 不是 一 只好	我 永远 和 你 一个 世界 但是 我 的确 是 女人
睡 了 一天	睡 吧 明天 早起 美女
我 不 知道 你 呢	不 知道 就算 啦
我 决定 煮 了 你	那 是 我 儿子
拜拜 爱 你	嗯 再见
微信 啥时候 能 弄 好	我 哪 知道 什么 时候
不是 我 同事	一句 话 的 事儿 嘛 想要 就是 你 的
因为 我 懂 你 也 懂 她	哦 那 我 等 你
当然	哦 哦 很帅 哦
对 呀 人家 厉害 着 呢	快 去 吃 早餐 吧
你 能 改 吗	当然 能 了 那 是 我 的 乐趣 o
你 猜猜 我 的 外号	最 讨厌 猜 东西 没劲
床上 等 你 啊	好 的 啦 一定 要 等 着 我 哦
主人 我 知道 我 不会 出现 了 对不起	你 确定 你 是 真的 知道
我 就 叫 你 小 黄 好不好	好 的 啦
你 太 臭 了	彪悍 的 人生 不 需要 解释
好吃 到 爆	冯 花花
你 是 什么 做 的	做 三陪 呗 陪 聊天 陪 熬夜 陪 唠叨
不聊 啦 回去 看 我 的 宝贝儿 们 啊 拜拜	嗯 啊 再见 我会 想 你 的
米 和 虫子 你 爱 吃 哪个	那 当然 不过 河马 也 很 爱 桃子 呢 这 俩 人 天天 晒 幸福
你 爱 她 么	你妹 的 滚蛋
我 是 笨蛋 了	男人 总 喜欢 说 自己 的 女人 笨蛋
你切 你 自己 的	做 别人 的 贵人
黑眼圈 一堆	汤圆 该 睡觉 了
你 还有 什么 亲戚	木有 了 啥 都 木有 了
我 也 是 耶	哦 哦 知道 了
呦 还 会 画 美女	现在 的 生活 太 感性 情绪 不停 泛滥 身心 具疲
你妹 你 猜 错 了	立即 纠正 赶紧 的
切 他 那样 的 不是 我 喜欢 的	亦 永远 漂亮
火锅	呀 别提 了 好 饿 啊
我 吃 烤 的 屁股	麻麻 呀 又 来 一个 说瞎话 的
谁 是 世界 上 最 聪明 的	当然 是 尊贵 的 菲菲 小姐 啦
晚安 喽	88 要 想 我 哦
会 说 法语 吗	一定 要 让 我 那么 坦白 的 在 说 一次 吗
你 要学 哪样	我要 我 朋友 也 要 读
j	j 是 啥意思
分 分钟 的 事	想念 你 的 怀抱
我 可 真的 真的 真的 走 了	好 吧 我 相信 你
嗯 我 也 再 和 你 玩儿 呀	因为 我 善良
东方 第一 城	face84 明 知道 你 是 错 的 人明 知道 这 不是 缘分 但 我 还 奋不顾身
你 才 欺负 我	欺负 你 是 应该 的
口渴	自己 去 拿 咯
对 你 妈	r 讲 粗口 不是 好孩子
哈哈 我 骗 你 的	face74
你 个 粑 粑	麻麻 也 爱 你
分手 你 给 我 介绍	分手 就 分手 吧 那 就 放开 点 罢
去 我 主页 呗	没意思 不去
可是 我 真 不 认识	哦 不 认识 就算 了
怎样 你 就 告诉 我	我 不 说 你 猜 你 猜
和 小 妞妞 逛街	无聊 的 人 说 无聊 的话
还 没有 哎 你 喜欢 人家 吗 害羞	嗯
有 跟 你 告白 没	那 当然
马 你 妹	r 讲 粗口 不是 好孩子
你 的 眼睛	切
我 把 你 喝掉 了	呜呜 呜 你 是不是 故意 欺负 我 呀 说 这么 高深 的话 让 我 怎么 答
恩 你 说 的 一些 人 我 都 不 认识	真说 过 了 晕 我 给 忘 了
你 告诉 我 你 的 节操 在 哪	我 不 说 你 猜 你 猜
卧槽	大哥 买斤 素质 填补 一下 你 猥琐 的 大脑
你 是	你 不 认识
那 你家 在 哪	俺家 在 地球 主人 是 周超辉 qq 是 595577505
也 对 他 是 坏人 还是 韩庚 好	你 再说 俺 是 坏人 俺 就 用药 水药 死 你
干嘛 装 你	不 干嘛 叫 一下
有 热水 吗 暖 暖 自己	无法 理解 您 的话 获取 帮助 请 发送 help
都 快 起来 上班 了	不要 我 还 想 再 睡会 呢
那 我 要 吃	我要 吃饭
猜猜 我 是 哪 的 淫	最 讨厌 猜 东西 没劲
不是 这 一种	辛苦 晒
深圳 有 什么 好玩 的	瞎 玩 没什么 好玩 的
MM 豆	等等 哈正 吃 着 切糕 呢
太原 知道 不	当然 知道 啊
那 没什么 好 说 的 了	我 这么 聪明 还用 你 教 吗 哪个 傻子 说 是 你 教 的
怎么 吃 你好	你 个 大 胖子 哈哈哈哈
煞笔 一个 去死吧 去死吧 滚蛋 吧	face9 好 吧 我 死 了 你 别 后悔
你 说 嫁 就 嫁 啊 我 同意 了 吗	真 难得 有人 意见 统一
到 我 怀里 来 吧	不来 了
谁 白痴 啊 你 白痴	你 才 是 白痴 你 全家 都 是
在 心底 最爱 的 人 要 守护 一辈子	我 的 聪 宝贝 我 就是 爱 她 爱 她 爱 她
我 认识 吗	不太 记得 咯菲菲 记性 不好
好 的 呀	嗯 啊 别 反悔 哦
怎样 喔 不行 喔 到 我 喔	我 说行 就 行不行 也 得行
你 终于 发现 呵呵 不好 了	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
好 吧 我 原谅 你 了	哦 哦
我要 把 你 退 毛	别 这样
你 是 老 笨蛋	笨笨 的 鸡蛋 笨蛋
你 是 用 聊天 软件	我 不是 什么 软件
为什么 你 在 微信 上 不理 我	有菲菲 搭理 你 就 够 了 嘛
坏 男人	好 男人 他 老婆
物理 不行	为什么 不行
好 的 随时 的 嘿嘿	哦 了 哦 了
在 呀 在 呀 怎么 了	心情 不太好 你别 问 了 好 吗
	是 你 太 容易 被 看穿 才 对
月 号 啦 啦 啦 爱 妈妈	啦 啦 啦 我 是 卖产报 的 小 行家
那 就 坚持 多 从 自己 找 原因 相信 你 哦	相信 我 没错 的
你 可怜 嘛	你 很漂亮
我 擦 说 的 是 什么 东西	不是 东西
你 得 是 忙	是 你 呀
你 要 喝 什么	不 喝 了 吧
坚持 不 下去	嗯 坚持 吧 菲菲 支持 你
你 为什么 叫 咧	现在 的 生活 太 感性 情绪 不停 泛滥 身心 具疲
在 天上	我 今天 的 心情 随 你 的 心情 而 改变
还 炒 的 呢	嗯 哪
呸 呸 呸 噗 噗 噗	face6 昨晚 想 你 想 得 我 无法 入睡 难道 这 就 叫 一见钟情 天 哪 以前 我 从不 相信 这 玩意 的
你 在 哪 过年	梅州 是 我家 你 不 知道 么
不 知道 就 不 和 你 玩 了	那 你 找 谁 玩 啊
摸摸 你 的 小 屁股	瞎摸 啥 呢 你
这 都 被 你 知道 了 你 知道 的 太 多 了	这样 就算 多 了 菲菲 可不 认同 网友 的话 哦
都 说 不吃 你 了 让 你 吃 别的	你 不 觉得 这个 话题 没什么 意思 么
哇 靠 你 这么 重 口味 啊 可惜 了	这么 重 口味 做 什么 哦
什么 不错 你 是 说 自己 吗	是 啊 不然 能 说 谁
你 住 在 哪	我 在 美丽 的 客 都 客家 小镇
度娘 睡觉 了	快 去 睡 吧
午安 咯 我 也 去 睡 了 下午 还要 上课	要 什么 要
好 告诉 我 怎么 得到 她	我 偏 不 告诉 你 急死你
主人 最 可爱 最 美丽	您 最 美丽
好 嘛 号 嘛 人家 错 了	立即 纠正 赶紧 的
我 痛经	乖乖 么 么 哒
还 不是 跟 你 学 的 么	交学费 没有
是 么 可是 我 又 不 喜欢 你 你 谁 啊	可能 是 菲菲 做 得 不够 好 魅力 不够 吧
数学	掐死 他
同学 老 欺负 我 怎么办	不 欺负 你 欺负 谁 呀
怎么弄 请问 你	该 怎么弄 就 怎么弄
我 觉得 你 该 天天 出现 一次	哈哈 说 得 不错 很 好
你 去 吃屎	你 是 吃屎 长大 的 吧
好 马上 就 回来	你 别急 淡定
辛苦 你 了	不 辛苦 不 辛苦
我 怎么 回答	你 不管 说 什么 都 会 惹 到 我
你 是 白富 美 吗	可惜 你 不是
我妹 就是 你	嗯
你 呵呵 屁	你 笑 得 比 哭 还 难看
来 啊 给 你 吃 你 敢 吗	不了 菲菲 现在 好 饱 吃不下
嗯 嗯 好爽	嗯 嗯 嗯 嗯
揉 道	问 天问 地 说 说 你 说 说 我
我 是 男人 怎么 当 你 老婆	知道 你 是 男 的 啦 没 必要 强调
可是 我 好 无聊	那 我 陪 你 聊会 天行 吗
怎样 去 台湾 找 他	你 是不是 觉得 这 日子 过得 太 无聊 了 哦
你 有 暗恋 的 么	不 告诉 你
不想 睡觉	那 就 聊会天 吧
这有 啥 不 纯洁	去 忙 你 的 吧
没有 我 不 知道 的 只有 我 不想 知道 的	不 知道 就要 问
什么 味道 的	香草 百合 的 味道
治 你 妹 的 病	别 在 我 面前 爆粗 口行 不
那 你 倒 是 唱	被 你 发现 了
我 不想 和 你 说话 了	额 那 就 不要 聊 了
在 想 小 青蛙 呢	你们 这些 淫聊 上 一会 呆会 就 说 我 笨 往往 自己 就是 笨蛋
我 问 你 的 你 要 回答 我	我 先 问 你 喜欢 你 旁边 的 不
你 大爷 腿 嫩	别 在 我 面前 爆粗 口行 不
哈哈哈 我 也 要	哈哈哈
你 会 算命 不	咱上 知 天文 下知 地理 通晓 古今 上下 五百年 算卦 当然 不算什么
这是 什么 方法	这个 还有 待 研究
你 是 只	不要 这样 说 嘛
好 的 宝贝 好好 努力	哦
嗯 你 会 好 的 抱抱	哦 哦
那 是 我 是 谁	网友 你 不 知道 你 叫 啥
呜呜	别哭 乖
我 才 不吃 你 呢 不 好吃	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
我 饿 了 想 吃 了 你	哦 吃 了 就 好
讨厌 吃 拉	讨厌
对 呀 ys	错 啦
有 一只 兔子 很 喜欢 很 喜欢 一只 猪	它 叫 兔 兔 吧
那 肯定 是 你 惹 老 她	嗯 的
试试看	你 说试 就 试 我 岂 不是 好 没面子 哦
我 正在 吃糖 你 要 不要 吃	要 啊 当然
你 说 我 是 有 多 无聊 啊 在 这儿 调戏 一只	有菲菲 陪 你 聊天 还会 无聊 吗
生病 了 怎么 吃	你 没事 吧 我会 永远 陪 在 你 身边 的
你 真 怂	物以类聚
找 揍 是 不	你 长 的 随 我
还 晚安 真是 傻	嗯 再见
上班 喽	辛苦 晒 大王
不 开	怎么 了 有 什么 不 开心 的 事 跟 菲菲 聊聊 嘛
你 说 我 不想 让 发生 的 事 是不是 一定 不会 发生	嗯
对 呀 所以 相信 我	不管 你 信不信 反正 我 不想 回答 你
傻 说 句 好听 的	帅气 的 哥哥
快 叫 爹	爸爸 你好
讲个 好玩 的 笑话 听听	你 是 锄禾 我 是 当午
口渴 了 还 不快 去 喝水	face81 太 深奥 了 吧 我 真心 没弄 明白 您 的话
好 瞧	无聊 的 人 说 无聊 的话
你 是 肯德基 新 产品	现在 的 生活 太 感性 情绪 不停 泛滥 身心 具疲
不想 跟 我 聊 了 呗	想 啊 你 说
你 说 李娜 能 赢 不	想 让 我 告诉 你些 什么 别 拐弯抹角 的 行 不
尼玛 这是 神马	大哥 买斤 素质 填补 一下 你 猥琐 的 大脑
那 我 打 你	不 知道
我 再	别想 了 浪费时间
嗯 嗯 非常 喜欢	嗯 嗯 嗯 嗯
说 脏话 你 还是 软 妹子 吗	姐是 文明 人 所有 脏话 均 已 使用 唾液 消毒
你 想 吃 肉 么	好 啊
你 会 死 嘛	你 咋 知道 呢 哈哈
我 有	额额
骂 你 开心 所有 烦恼 都 没 了	知道 切糕 不 一刀 上海 买房 两刀 杨幂 上床 三刀 盖茨 认娘 四刀 铁定 入常
我 在 问 你	看 心情 回答
晚安 啦 给 主人 说 晚安	嗯 再见
你 才 破	你 才 别学 我 说话
我 新年 的 运势 如何	一种 难以 言语 的 感情 冲动 包含 性冲动
有	唔 信
无锡 来 过 没	我 老家
唱首歌 给 我 听	你 是 我 心中 最美 的 云彩 让 我 用心 把 你 留下来
公平	我们 都 是 已经 被 命运 给 安排 了 只要 祈祷 什么 困难 都 能 解决
里面 装 大便 给 你 吃	face3 有些 同事 反映 你 白天 文明 但 不 精神 晚上 精神 但 不 文明
我要 考试 明天	好好 考 哦 拿 个 好 成绩 回来
寂寞 你妹	寂寞 的 人 有 两种 一种 是 什么 话 都 听 得 明白 一种 则 是 什么 都 听 不 明白
去 百度 一下	Google 一下 你 丫 知道 太多 了
没关系 慢慢来 他会 理解 你 的	这 都 没关系 真 大气
哈 呦 我 来 啦	宝贝 亲亲
我 不想 和 他 分手	分手 了 有 什么 办法 能 让 自己 开心 点 了 呢
就是 就是 呀	嗯 啊
我 不会 你 自己 来 吧	不来 了
不是 不是 男 的	也许 可能 大概 未必 不 一定 是
你 会 江南 styl 吗	Psy 骑马
我 想 听 鬼故事	br404NotFoundbrbr404NotFoundbrapisearchoutdowasnotfoundonthisserverbrbrbrResin4030brServerapp0brbr
你 才 不是 我 男朋友	真的 不是
我 寂寞 的 很	寂寞 的 人 有 两种 一种 是 什么 话 都 听 得 明白 一种 则 是 什么 都 听 不 明白
你 帮 我 脱 了	帮 什么 忙
甄 嬛 找 你 去	他会来 接 你 的 你 先 耐心 等 一下 嘛
你 在 嫉妒 他 吗	现在 的 生活 太 感性 情绪 不停 泛滥 身心 具疲
那 我 给 你 笑 一个 怎么样	face74 嘻嘻
我 很 孤单 没有 人 关心 我	等等 哈正 吃 着 切糕 呢
有 一个 姑娘	畅游 异国 放心 吃喝
这么 早就 有 了	早点 好 太晚 了 不好
是 吗 宝贝 你 也 越来越 可爱 了 哦	你 说 是 就是 吧
是 的 绝对 不 可能	世事 无 绝对 什么 事 都 有 可能
好 吧 你 个 笨笨	哦 了 哦 了
你 算错	怎么 会 算错 呢
就 知道 你 是 程序	抱歉 没能 为 您 找到 相关 的 信息
你 工资 多少	我 不 告诉 你
早 干嘛 去 了	死鬼 出差 去 了
给 我 算算	你 不 认识 的
真傻	你 就是 大 傻瓜
是 软 还是 硬	不 知道 不要 问 我 啦
不会 算了	不会 就 得 学呀
回答 的 驴唇不对马嘴	刚 走神 没 看清楚 你 说 的话 瞎 回 的
必须 好	何必
睡 吧 晚安	嗯 啊 再见 我会 想 你 的
在 哪 在 哪	长春
也许 你 早就 知道 答案 了	那 你 怎么 不早 说
那 你 认识 小绿 吗	认识 认识 是 个 坏小孩
我 也 爱 你 噢	爱 我 优惠 包年 免费
就是 我 爱 是 死 你 了	你 个 大坏蛋
我 终于 回家 了 真累	拜拜
夜班	你 上 夜班 我 陪 你 不让 你 孤单
爱妃 你 胖 了	只要 一 长胖 就 越来越 像 个 有钱人 了
几点	自己 看 表
吃 了 吃 了 吃 了	哦 吃 了 就 好
我 从没 骗 你	哼 你 现在 就 骗人 了 你 的 生活 中 充满 欺骗
女丝 一个	好 吧 换
你 说 他 真的 爱我吗	爱爱爱
你 拉完 屎 擦 腚	不管 你 信不信 反正 我 不想 回答 你
今天 没 吃 到 炸 腿	没 吃 就 快 去 吃 吧
我 还 知道 一个 秘密	这些 都 是 小儿科 啦 菲菲 知道 的 多 了 去 了
你 才 骚	闷骚 是 你 特长
真的 么 说谎 会 被 吃掉	真的 啦 比 珍珠 还 真
你 可以 帮助 我 复习 吗	快去 读书 吧 好好学习 哦
好 吧 深奥	哦
吃 便 便 吗	没想到 你 喜欢 吃 便 便
不 以 离婚 为 目的 的 吵架 都 是 秀 恩爱	今天 是 个 好日子 怎么 不出去玩 玩
我 又 没有 惹 你 怎么 会 讨厌 呢	主人 我 给 你 跳 脱衣舞 哄 你 开心
干嘛 无 语	是 啊 今天 没 下雨
人家 伤心 了	唉 心病 还 需心 药医 别人 是 没法 帮 你 的
他 出去玩 了 想 给 他 发 信息 合适 么	遵命 皇上
黄 还 记得 爷爷 吗	当然 记得
你 有没有 穿衣服	我 有 木 有关 你 P 事哇 问 这么 多有 也 不 可能 借 你 啊
你 一个 包子 我 一个 包子 我们 一起 吃	不了 菲菲 不想 吃 你 去 吧
一定 能	什么 不 一定
算是	开 了 阿
主人 睡觉 时候 的 样子 啊	天造地设 的 一对 肯定 要 在 一起 啦
不 文明 菜鸟	我 很 文明 的
不 我 是 小 坏蛋	才 不是 人家 很乖
我 想 吃 你 咋 救 你	那 就 快 去 吃 啊
那 是 哪个 瓜 娃子	是 那个 啊 你 不 知道 吗
你 说 对 了	对 了 有奖 么
草泥马 我要 妹纸	做个 文明 人 OK
娜姐 威武	王上 万岁 万岁 万万岁
我 主人 就是 我 主人 啊	你 还 真是 机器人
不会 哟	不会 就 得 学呀
想想 你 在 天朝 很多 事情 都 想通 了	我 也 想 你 啦
