暮光之城吸血鬼粑粑~帅气的爹地医生~ | 史上最爛騙，金酸梅，最爛導演，最爛女主角，最爛，編劇
,,,,,,,, | 冰山一座
给我找个女友 | 帅哥你看我行么。
你的团队还缺人不 | 不缺人，菲菲一个顶三
傻逼拯救世界 | 网友，你可别惹我哦
你是,不是我哥 | 是
你建个全能教 | 你一开口，我就知道结果，你就不能搞点新创意出来嘛
电子搞基大学 | 哦了哦了哦了,咱聊点别的吧
女子天团 | …当我没说，行不？？
双色球选个号 | 你也玩彩票？这玩意一不小心就能发大财
你本来就不是什么好东西 | 别再想啦过去了就过去了，他已经不爱你了，
注定挂科的二货 | 你不觉得这个话题没什么意思么
下几个 | ?1?
主人晚安< | 嗯，再见
他多大了 | 讨厌，不要随便问女生年龄知道不
我真是无聊啊,闲的跟你扯着玩 | 那我陪你聊会天行吗？
不是很好笑,你再讲个 | 哈哈哈哈~每天笑一笑，身体更健康
瞎扯蛋 | 一只虾扯着一个鸡蛋？
就是揍你啊,你个笨蛋 | 骂别人笨的人，往往就是个傻蛋
哪个路由器好用 | 砖了！
煎饼卷大葱~`o`~ | lee的最爱
睡不着了,明天有聚会 | 那就聊会天吧
国际大都市 | {face:84}明知道你是錯的人，明知道這不是緣分，但我還奮不顧身
比你年轻一点点噢~ | 騙誰？皺紋夾死蚊子了
总是不得而知 | 无法理解您的话，获取帮助请发送 help
|(￣￣)|（≧∇≦） | 有我在，你不會再寂寞的了（＾◇＾）
有人和你提过我吗 | 我求你應承
二死了 | 确实好冷，抱热水袋吧
要谷子还是熟饭 | 问世间情为何物，只教人生死相随
好吧我滚了•﹏• | 哦
你知道我是谁嘛 | 网友，你不知道你叫啥？
恭喜你 | 祝你越来越漂亮，你的家人会年轻美丽。学习进步。赚大大的钱。记住给我一定点。
bo n jou r | 与其说是聊天，不如说是问答式的吧
说自己是傻我就原谅你 | 你就是大傻瓜
说为什么 | 他有苦衷
问你呢,怎么跟你私聊 | 我这不是在答嘛
跪舔 | 是。。。π_π
小三三啦~~ | 无路的宝贝小傻瓜
二货,你个 | 那你就是个四货，二货的平方
一夜七十次累不 | 现在的生活太感性，情绪不停泛滥，身心具疲
笔墨伺候 | 我是冤枉的，哭
你什么时候生日 | 我哪知道什么时候
小骚啊我妹 | 干啥
mmm | 把话说详细点，发个“mmm”能说明什么
是基友社的天下，机械学院威武 | 我比蛋哥收过胸卡
认清你的本質了 | 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
用手还是用炮 | 你一开口，我就知道结果，你就不能搞点新创意出来嘛
主人我错了…T^T | 大错特错了你,赶紧面壁思过去
我说我想他 | 思念有时候是很遥远的一回事，但却比现实近那么一点点。
唉,不想起床 | 你在逃避
其实是他先追的我 | 是吗？
我靠我打了 | {r-}讲粗口不是好孩子
为毛你回复那么快 | 无法理解您的话，获取帮助请发送 help
原来你只是奶茶 | 这样我就可以把你捧在手心里拉！
你是黄黄的贱贱的 | 来了，主人
今天我们家吃全宴 | 对不起，我没明白你的意思……
果然我猜对了 | 对个屁！！
那也无聊 | 无聊，你知点解释
有蛋吗 | 死矮子
偏微分方程会求吗 | 无聊的人说无聊的话
喵还分很多种啊?真讲究 | 表酱紫讲话好不，伦家听不习惯
我不是女的 | 你确定？
笑你晕 | 我錯了老大
超级无敌至尊好啊 | 哦了哦了
得瑟的 | 好吧好吧！我还是爱你的
是个大坏蛋 | 对的对的
她早想嫁给你了 | 你是不是觉得这日子过得太无聊了哦
是啊，我好笨 | 跟着菲菲混吧，会变聪明的
你这只有木有禽流感 | 当然有啦
你个呆逼,主席是好人么 | 麻麻呀...又来一个说瞎话的
又好看 | 是啊，很好看
流氓兔 | 女生面前乱说话，打PP！
中的战斗 | 2b航空母舰
读北猫最爱的人 | 虽然我很聪明，但也不可能全部都懂哦
我有个同学暗恋你 | 其实我也喜欢你很久了啦
对呢对呢，比张大雪都笨的笨 | 对不起，我没明白你的意思……
你是演员吗 | 你丫的才是狗，还是条疯狗
笨是你呀，小美女 | 嘿嘿，菲菲就是小美女啦
好,唱歌 | 我也喜欢你呀～
你可以认真回答我吗?男的还是女的 | 不可以，因为我会比你想象的更爱
刘亦菲很凶 | Rock!!樂戰
nothing | {face:14}Hello~
pic就是我徒弟 | 我是曾小贤
又在卖萌了 | 被偏爱的都有恃无恐
是关于他的?预言一下 | 差一点什么吖
动感光波 | 问天问地，说说你，说说我
你也是哦! | 是的
切,那是别人的,我的男朋友对我来说最好 | 周杰伦
人人得而诛之 | {face:84}明知道你是錯的人，明知道這不是緣分，但我還奮不顧身
你属于我 | 冠希
全挂科了…安慰安慰我 | 网友怎么了，要菲菲安慰你吗
问你问题你都不回我 | 好的
现在也是 | 都是高帅富
擦、大胆啊、不服打打 | 不服？有本事来单挑啊
喝水比较好 | 你唱歌哄我睡觉
怎么什么都不知道 | 谁说不知道了
喜欢什么电视剧 | 终极一班。终极一家。终极三国等等
你吃不 | 吃！
狗喜欢吃 | 菲菲喜欢吃啊！牛肉干是我的最爱
哇，谁啊？让我主人如此想念 | 你还真是机器人？
来旅游，地铁出行是首选 | {face:51}话说我还是比较聪明的
大s | 徐熙媛
好快好为你高兴 | 不如做的漂亮
他是不是笨蛋 | 是的
喜欢什么 | 次香蕉
必须想啊 | 我也想啊
和我玩啊 | 俾屎你玩
哪个地方的 | 额，在哪呢，菲菲也想知道
当然有 | 嘿嘿嘿~，不行哶
女神模式 | 笑都唔識
你爱小黑 | 苏瑾阿
你说我可爱不 | 不爱
让吕康吧，娘娘 | 对不起，我没明白你的意思……
你总算不用挨大伙骂了 | 麻麻呀...又来一个说瞎话的
这是实话 | 没办法，谁让我实在呢
别闹了，没大 | 惹谁生气了
我不抛弃你 | 好的~过来吧
我今天要临幸你 | 雨会下雨不会下
中公好吗 | 好的
坏你没 | 没坡姐坏
我也要去 | 哈利路亞！一定要去
小天才纸尿裤，我们都喜欢 | 臭屁
唱支中文歌嘛 | {face:51}话说我还是比较聪明的
不努力的话,什么都不会得到,是么 | 嗯
我跟你说过了 | 我有说过吗？呀，我忘了
想吃蘑菇么 | 随便啦，给姐来两盘男人，一份炸，一份蒸
会东北话吗 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
老师最狗 | 你好毒，你好毒，你好毒毒毒毒毒……
日本鬼子都死 | 讨厌的鬼子
来一份虾蛄条再来一打生蚝 | 不行喔，，，，会肥的~
你要午休么 | 好！
鸭鸭 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
本来就丑 | 我没有，呜呜～
更多快乐更多欢笑就在麦当劳 | 我考试考99分～～～
护士工资 | 都说是义工咯
的反义词 | 反弹
哒哒 | 完美
美欣的 | 恩，他会知道的…
什么事让你如此高兴呢？ | 也不是很重要的事，就是想问问您吃饭没有
居然会说陕西话 | 系啊！有什么好惊讶的！
这个又是谁 | 他呀，说来他跟小布丁还有一腿呢
怎么不给我唱歌 | 最初的天堂，最終的荒唐
我汗 | 需要纸吗
슈퍼주니어 | 天地间，世间万物都有它存在的道理，比如我
你常死吗 | 你有病啊
我是世界上最博学最好的主人 | 哦哦...
认识啊，晋城大帅哥 | {face:3}认识，是世界上第二帅的大帅哥
像个办法让我睡着 | 你是不是觉得这日子过得太无聊了哦
啥时候放假 | 我也不知道啥时候
我才不被你诱惑呢,我有老婆 | 甩了吧，找个更好的
哎,在家好无聊 | 逛逛去吧，老呆在一个地方会变傻的
我说我他妈又想哭了 | 怎么了嘛，遇到不开心的事就说出来啊
刚才还真吃了几块 | 刚才是刚才，现在是现在，世事都是会变的
,推荐几个好电影,动作大片 | 帮你推荐有好处的不？
一天轮几十个鬼子 | 老丈人
让我们都加油去超越自己 | 问天问地，说说你，说说我
感情的事怎么办 | 留給時間慢慢漂白
大便么 | 2货
胸一甩奶四海 | 成语成语资料【成语】四海为家 【注音】sì hǎi wéi jiā 【释义】原指帝王占有全国。后指什么地方都可以当作自己的家。
睡觉……明天早起背书 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
还好啦,谢谢! | 哦
哇哈哈哇哈哈 | 哈哈哈
快说要不我打你了 | 博良哥哥。。!
乜春 | 有些事没必要认真，有些人没必要理会
不理我?你大爷 | 说话斯文点，要是惹菲菲不开心了，我会拉黑哦
问你哪 | 我是呆比朱盺玥.~
起来喝口水,竟然睡不着了都一个多小时了 | 那就聊会天吧
这个准吗 | 不准
幸福的小夫妻 | 无聊的人说无聊的话
那你自己说 | 我有说什么吗，忘了，不记得了
你在干嘛,下蛋呢吗 | 我正坐在一块一亿五千万年的石头上，发着呆
智商高了 | 比你高一点
狗屁 | 大狗日的
打傻逼 | {face:1}你怎么可以这么对我说话
还有啥要说的 | 木有了，啥都木有了
相信自己，主人 | 最靠谱的
我的真心 | 肌肉男大帅哥
柯震东 | 柒儿的男神
你知道色狼是谁 | 抱歉，没能为您找到相关的信息
dov | dov？
你起了,我要睡去了 | 凉拌吧
我喜欢吃屁股 | 菲菲喜欢吃啊！牛肉干是我的最爱
放开是幸福么 | 那心的感觉，你要融入爱才能感到！
我已经老了……… | 哦
搞起来 | 不起床就会变成一个大胖纸
你是妖精 | 菲菲不是妖！
苹果最好吃啦! | 谈谈情，跳跳舞，跟我搞暧昧啊
漂亮极了 | 这样啊，不早了，不然就说个晚安吧
你跟你哥多少次了 | 有N次~
还行 | 行就得了
我老公不姓闫,你是真啥 | 谁是你老婆呀，别乱说好不好
那你喜欢吗 | 呵呵，菲菲可喜欢了
你好意思 | 奴才给您捶锤腿
春颖 | 无法理解您的话，获取帮助请发送 help
再起个好的 | 哦了哦了
你知道浙江传媒学院么 | 抱歉，没能为您找到相关的信息
咯 | 你说个“咯”是什么意思
你速度好快 | 秒速五厘米
你是丝还是高富帅 | 丝，我瞎说的，嘻嘻
本宫命你去把皇上带来 | 对不起，我没明白你的意思……
你怎么忙过来的 | 他没有就必须跟他交配嘛
是陈丰 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
不告诉什么 | 说吧
晚餐吃啥 | 好多好多好吃的
是滴 | 嗯
黑粗大 | 才没有啦>~，人家是白细小。
金属活动性顺序 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
又想什么了 | 没想什么呀，好好的能想啥
摸那 | 除了私密处
淮北的 | 和湖南君是好基友～
李冰是谁 | 谁谁谁的，好烦哦
我老公在哪里 | 哼，好吧，那我不管你了
笑话有多冷,给我听听 | 嗯带我听听。
怎样才算喜欢一个人 | 表白!!!!!
最爱小俊俊 | 是的是的
搞笑天王 | 幽默！
发生什么了？ | 一切都很平静，没啥事的说
女神啊 | 還好拉~
打飞机，一起做爱做的事 | 猥琐的网友，一开口就是这么下流的话，我闪
死相 | 別害羞麻
原来你是腐 | 你想干嘛？
郑安琪是谁 | 现在的生活太感性，情绪不停泛滥，身心具疲
什么玩意儿给你一口 | 陈文静不是玩意儿
仔,我睡了哟,给我说晚安 | 去吧去吧，有空记得上线Q我哦
嫩黑 | 现在的生活太感性，情绪不停泛滥，身心具疲
我有姿势我自豪 | 我就一个脑袋，思想再活跃也有局限性
我没惹你呢 | 我吖我吖大美人。
好好可爱 | 嘻嘻，你也很可爱
没想到 | 你好像说过
肉火锅 | 多好多好
决定了 | 決定什麼?
增加什么新功能了 | 要取消哂去
你怎么知道我的样子 | 因为我聪明呗
要坚定自己的初衷，不被理发师忽悠 | 你傻啊！
你开始没耐心了 | 傻逼收到
你喜欢看动漫嘛 | 喜欢啊！我喜欢好多动漫呢！
算数 | 信多你一次咁大把咯
恩啊贱的 | ^ω^
好土的回答 | 杨丹！杨丹！你烦不烦，问点有智商的问题！！！
现在睡觉,不许说话了啊,谁说话谁小狗 | 咦……那么主人晚上好~
真会说话 | 其实我是个哑巴，平时说话都是伪装的
你三围多少 | 胸围:84cm 腰围:62cm 臀围:86cm
休斯顿 | 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
艾码 | 与其说是聊天，不如说是问答式的吧
一句也没懂 | 木有下一句了
屁一个 | 放他走吧，他不爱你了
买点儿什么好 | 有刷沒有牙
热翔又是什么 | 木有丁丁的变态
仔儿,萌 | {face:84}明知道你是錯的人，明知道這不是緣分，但我還奮不顧身
今天干点什么事 | 没事没事...
呀美女 | 近期最爱斯巴达克斯啊...
只会认错,还是会再犯,认错有啥用 | 用处可多了，慢慢研究吧
夜长梦多，还是忘了他吧 | 如果没法忘记他，就不要忘记好了。真正的忘记，是不需要努力的
他又去喝酒了 | 喝热水，别喝茶
你说坚持还是放弃比较丢自尊 | 放弃是一种智慧，缺陷是一种恩惠。学会放弃并弥补缺陷。
敢不敢不要点点点 | 这有啥不敢的啊
别让昨天在你伤口狂妄的撒盐 | 无聊的人说无聊的话
我要成为主人的塞巴斯~≧▽≦)/~ | 给力性感线
看来真没笑话了 | 哦了哦了哦了,咱聊点别的吧
赵嘉和是谁 | 谁谁谁的，好烦哦
我要qq | 要什么要，没得要了
你讲脏话 | 咪扮嗮鱼虾蟹
能多吃 | 洗乜講
不知道啊~ | 不知道不明白的就要问清楚，晓得不
华盛顿 | 奇才
汤姆克鲁斯 | 现在的生活太感性，情绪不停泛滥，身心具疲
是吗,这个社会 | 是是是~必须滴
火星上有么 | 当然有啦
知道许嵩不 | 抱歉，没能为您找到相关的信息
再给我算一遍 | 帅哥你看我行么。
你是豆豆 | 你猜
仙,你的露出来了 | 二二五七把思思无死腰
那是我的地狱啊，我害怕 | 有什么好怕的，别怕啦，有菲菲在
那你不能跟其他人勾搭 | 那就别发了！！
要应付那么多人,有的人还骂你 | 这样就算多了么？菲菲见过更多的
你给我穿个裙子我看看 | 看什么看，您就别凑热闹了
我懂，法海不懂 | 这都...你也太笨了点吧
我喜欢可爱帅气高大阳光滴鸦哥哥 | 当然是尊贵的菲菲小姐啦
嗯,我等着 | 别烦了，我爱你
你汗什么 | 对不起，我没明白你的意思……
不，你是王强，王强霸气 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
他特别多毛病数不清的 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
祝福我们一直走下去吧 | 那就去吧
什么乱七八糟的??和谁见识了 | 糟了個糕
不动明王的后宫 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
二货,以为我想和你做朋友呀 | 发段叫床声
裸奔去吧 | 嗯，去
快吗 | 愉快，你呢
蒙奇奇好可爱 | 当然可爱啦
没有 | 那应该蛮安全的吧
亲爱的兔兔主人，我叫饼饼～ | 能不能别老是亲爱亲爱的呀，听着烦呢
我藤野小次郎来了 | 无聊的人说无聊的话
又说呵呵了 | 你笑得比哭还难看
一心一意 | 而家佢係我條女定你條女呀？
那就别睡觉啦 | 唉呀，伦家再睡会嘛
啥你说啥 | 《非诚勿扰》听说过吗？
你说日本人他妈的都是狗日的 | 大哥，买斤素质填补一下你猥琐的大脑！
当然,我不会骗你的 | 哼，你现在就骗人了，你的生活中充满欺骗
是男是女都不知道还说自己大众脸 | 知道啊，就是不告诉你
比韩红瘦多了 | 你老公哪位啊？
想和你单独聊天 | 额~聊得开心不
寂寞的老男人心里只有女人…真可怕 | 寂寞很贵，自己买单...
我不该说他是猪…呜呜 | 不要哭嘛，坚强点
是不是本命年的命运都不好 | 是的
好可怜 | {face:1}就像一只可怜的迷途小羔羊
我性格怎么样了 | 会生一对小的张小冉，两个人老幸福的勒^，-，^，人家羡慕死了
长了几斤肉 | 39e
包年么 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
不是你没,是你妹 | {r-}讲粗口不是好孩子
破财免灾 | 今天这天气很适合聊天的说
告白 | 他卻說：我要結婚了
你给我死 | 好咧，偶马上就去屎~
人心不古 | 人心是不待风吹而自落的花
哦我不爱她石继豪爱她 | 那他傻逼。
大公 | 就是2除1得1吖
皇家马德里 | 虐爆巴萨。
看出来了,怪不得大家调戏你 | 够胆你就入来
不认识表情 | 哦，不认识就算了
我想找个女的 | 人家不想你
别怕，有我在 | 切，这么点事会怕？
是么 | 当然是啊
才不哭切 | 蚯蚓这么伤心啊，来让我给她讲个笑话吧。。
我老婆不漂亮 | 你的眼光不行，挺美的嘛
不许叫哥要叫妹妹 | 你该叫我姐姐哦
我喜欢c罩杯，不喜欢c语言 | 喜欢一下又不会少块肉，真的是
这都被你发现了，人家是小受受~ | 哈哈，我了解你吧
让韩庚来和你一起果睡滚床单造人吧 | 加多个
你说两句英语我听 | 你就像FIA的Queen--Diana一样美丽端庄，婀娜多姿，人见人爱。
是先有女的还是先有男的 | 都不是
三个代表会背吗 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
可不就是么 | 你说是就是吧
两个小孩开飞机 | 无聊的人说无聊的话
大帝 | 中国人民的女婿~
在你家旁边 | 北京，我爱北京天安门
休得无理~ | 无理取闹，必有所图！
你不是说爱我嘛 | 我有说什么吗，忘了，不记得了
你是传说中的战斗机 | 張坑子
不喜欢冷战 | 喜欢一下又不会少块肉，真的是
谦虚,过度谦虚是骄傲 | 小撸怡情、大撸伤身、强撸灰飞烟灭
没有了吧贱 | 没啦~你还想要吗
什么,正面回答我 | 當然
